Airbnb ID,Airbnb URL,Revenue Potential,Days Available,Annual Revenue,Occupancy,Daily Rate,Bedrooms
1172933656514316550,https://www.airbnb.com/rooms/1172933656514316550,152.9k,365,152.9k,83,503,
5777080,https://www.airbnb.com/rooms/5777080,195.7k,255,152.4k,60,996.4,
667514615849464998,https://www.airbnb.com/rooms/667514615849464998,209.5k,204,152.3k,58,1.3k,
1317168434209119602,https://www.airbnb.com/rooms/1317168434209119602,152.1k,277,152.1k,84,652.6,
1435398505722327359,https://www.airbnb.com/rooms/1435398505722327359,173.1k,181,151.7k,76,1.1k,
760145787160037583,https://www.airbnb.com/rooms/760145787160037583,170.4k,309,151.3k,92,534.7,
1249717444587878281,https://www.airbnb.com/rooms/1249717444587878281,218.3k,240,151.3k,79,800.4,2
1294100010850824551,https://www.airbnb.com/rooms/1294100010850824551,154.7k,304,151.2k,67,741.4,
627201163735592722,https://www.airbnb.com/rooms/627201163735592722,202.1k,262,151.2k,68,854.2,
1177344494571562157,https://www.airbnb.com/rooms/1177344494571562157,171.4k,303,151.2k,75,663.1,
624230249006473058,https://www.airbnb.com/rooms/624230249006473058,151.7k,364,151.1k,78,530.1,
1067120711069925507,https://www.airbnb.com/rooms/1067120711069925507,180.5k,183,151k,66,1.2k,
572290458652924903,https://www.airbnb.com/rooms/572290458652924903,185.8k,298,150.8k,78,650,
1232730055728648556,https://www.airbnb.com/rooms/1232730055728648556,176.1k,332,150.7k,78,579.5,
969254135041761260,https://www.airbnb.com/rooms/969254135041761260,202.1k,270,150.6k,80,700.4,
896949659291211433,https://www.airbnb.com/rooms/896949659291211433,155.8k,348,150.6k,73,592.9,
1141912360724112181,https://www.airbnb.com/rooms/1141912360724112181,159.7k,309,150.4k,67,726.8,
40749969,https://www.airbnb.com/rooms/40749969,270.4k,185,150.4k,95,854.6,
53034518,https://www.airbnb.com/rooms/53034518,150.2k,365,150.2k,73,564.8,
1149865794008950470,https://www.airbnb.com/rooms/1149865794008950470,210.9k,220,150.1k,74,926.5,
1177250700016555943,https://www.airbnb.com/rooms/1177250700016555943,153.5k,289,150k,72,717.5,
995496295678043868,https://www.airbnb.com/rooms/995496295678043868,180.5k,282,149.9k,89,594.7,
1276584114519302253,https://www.airbnb.com/rooms/1276584114519302253,180.5k,238,148.4k,77,811.2,
1268926183784102952,https://www.airbnb.com/rooms/1268926183784102952,151.6k,207,148.3k,79,904.1,
738772131660134105,https://www.airbnb.com/rooms/738772131660134105,244.8k,223,148.3k,58,1.1k,2
1279999130781944045,https://www.airbnb.com/rooms/1279999130781944045,148.6k,320,147.9k,88,526.2,
772167045432535141,https://www.airbnb.com/rooms/772167045432535141,180k,302,147.8k,46,1.1k,
1167328486176123099,https://www.airbnb.com/rooms/1167328486176123099,153.5k,277,147.8k,74,717.4,
994154780387120172,https://www.airbnb.com/rooms/994154780387120172,156.7k,338,147.7k,71,615.6,
1253788810897991780,https://www.airbnb.com/rooms/1253788810897991780,150.2k,313,147.6k,78,602.5,
1323280406027530553,https://www.airbnb.com/rooms/1323280406027530553,151.4k,234,147.5k,73,867.9,
1132957316062315944,https://www.airbnb.com/rooms/1132957316062315944,205.7k,255,147.4k,82,701.8,
1024341030387170322,https://www.airbnb.com/rooms/1024341030387170322,148.3k,363,147.1k,83,488.7,
1370975710130113787,https://www.airbnb.com/rooms/1370975710130113787,167.3k,207,147.1k,36,2k,
778612659345208894,https://www.airbnb.com/rooms/778612659345208894,208.8k,252,146.9k,41,1.4k,
